no,evidence_group,filename,file_type,primary_phase,methodology_action,is_sidecar,parent_file
1,01_Tectonic_Terrane_KMZ,"Geological and Tectonic Characteristics of the Lake Terrane, Mongolia.png",image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
2,01_Tectonic_Terrane_KMZ,Mongolia_Tectonic_Terrane_Map_Project_Area_Lake_Island_Arc_Terrane.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
3,01_Tectonic_Terrane_KMZ,MUGZ500_Geomed2013_Explanatory_Text_Central_Mongolian_Massif_and_Daagandel_Tectonic_Zone_Page11.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
4,01_Tectonic_Terrane_KMZ,MUGZ500_Geomed2013_Explanatory_Text_Nuur_Accretionary_Megazone_Part1_Page08.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
5,01_Tectonic_Terrane_KMZ,MUGZ500_Geomed2013_Explanatory_Text_Nuur_Accretionary_Megazone_Part2_Page09.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
6,01_Tectonic_Terrane_KMZ,MUGZ500_Geomed2013_Explanatory_Text_Nuur_Accretionary_Megazone_Part3_Page10.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
7,01_Tectonic_Terrane_KMZ,Regional_Tectonic_Subdivision_Map_of_Mongolia_Tumurtogoo_2017_Buduunkhad_Project_in_Ulaanshand_Zone.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
8,01_Tectonic_Terrane_KMZ,MN_BuduunKhad_L23222_LicenseBoundary_WGS84_v01_raw.kmz,kmz,01,KMZ/KML polygon import; reproject WGS84(EPSG:4326)->EPSG:32647; validate geometry/topology; write license_boundary to Master GeoPackage; generate buffers.,false,
9,02_DEM_ALOS_ASTERGDEM,ASTER-GDEM-v3_N45E096_DEM_1arcsec_WGS84_v01_raw.tif,raster,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,false,
10,02_DEM_ALOS_ASTERGDEM,ASTER-GDEM-v3_N45E096_NumObservations_1arcsec_WGS84_v01_raw.tif,raster,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,false,
11,02_DEM_ALOS_ASTERGDEM,XV023222_Buduunkhad_ALOS-PALSAR_DEM_12p5m_UTM47N_Raw_v01.tfw,world_file,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,true,XV023222_Buduunkhad_ALOS-PALSAR_DEM_12p5m_UTM47N_Raw_v01.tif
12,02_DEM_ALOS_ASTERGDEM,XV023222_Buduunkhad_ALOS-PALSAR_DEM_12p5m_UTM47N_Raw_v01.tif,raster,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,false,
13,02_DEM_ALOS_ASTERGDEM,XV023222_Buduunkhad_ALOS-PALSAR_DEM_12p5m_UTM47N_Raw_v01.tif.aux.xml,aux_xml,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,true,XV023222_Buduunkhad_ALOS-PALSAR_DEM_12p5m_UTM47N_Raw_v01.tif
14,02_DEM_ALOS_ASTERGDEM,XV023222_Buduunkhad_ALOS-PALSAR_DEM_12p5m_UTM47N_Raw_v01.tif.ovr,overview,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,true,XV023222_Buduunkhad_ALOS-PALSAR_DEM_12p5m_UTM47N_Raw_v01.tif
15,02_DEM_ALOS_ASTERGDEM,XV023222_Buduunkhad_ALOS-PALSAR_Hillshade_12p5m_UTM47N_Derived_v01.tfw,world_file,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,true,XV023222_Buduunkhad_ALOS-PALSAR_Hillshade_12p5m_UTM47N_Derived_v01.tif
16,02_DEM_ALOS_ASTERGDEM,XV023222_Buduunkhad_ALOS-PALSAR_Hillshade_12p5m_UTM47N_Derived_v01.tif,raster,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,false,
17,02_DEM_ALOS_ASTERGDEM,XV023222_Buduunkhad_ALOS-PALSAR_Hillshade_12p5m_UTM47N_Derived_v01.tif.aux.xml,aux_xml,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,true,XV023222_Buduunkhad_ALOS-PALSAR_Hillshade_12p5m_UTM47N_Derived_v01.tif
18,02_DEM_ALOS_ASTERGDEM,XV023222_Buduunkhad_ALOS-PALSAR_Hillshade_12p5m_UTM47N_Derived_v01.tif.ovr,overview,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,true,XV023222_Buduunkhad_ALOS-PALSAR_Hillshade_12p5m_UTM47N_Derived_v01.tif
19,02_DEM_ALOS_ASTERGDEM,XV023222_Buduunkhad_ALOS-PALSAR_SlopeDeg_12p5m_UTM47N_Derived_v01.tfw,world_file,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,true,XV023222_Buduunkhad_ALOS-PALSAR_SlopeDeg_12p5m_UTM47N_Derived_v01.tif
20,02_DEM_ALOS_ASTERGDEM,XV023222_Buduunkhad_ALOS-PALSAR_SlopeDeg_12p5m_UTM47N_Derived_v01.tif,raster,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,false,
21,02_DEM_ALOS_ASTERGDEM,XV023222_Buduunkhad_ALOS-PALSAR_SlopeDeg_12p5m_UTM47N_Derived_v01.tif.aux.xml,aux_xml,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,true,XV023222_Buduunkhad_ALOS-PALSAR_SlopeDeg_12p5m_UTM47N_Derived_v01.tif
22,02_DEM_ALOS_ASTERGDEM,XV023222_Buduunkhad_ALOS-PALSAR_SlopeDeg_12p5m_UTM47N_Derived_v01.tif.ovr,overview,02,DEM QA/QC; projection check; reproject to EPSG:32647; derive hillshade/slope/aspect/drainage terrain layers.,true,XV023222_Buduunkhad_ALOS-PALSAR_SlopeDeg_12p5m_UTM47N_Derived_v01.tif
23,03_KOMPSAT2_MSC_L1G,KOMPSATEULAForm_3.1.pdf,pdf,02,License/provenance record; archive as report annex (no spatial processing).,false,
24,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344PN00_1G.tif,raster,02,KOMPSAT PAN/MS import; band identity check; RPC alignment; orthorectification; pan-sharpen/visual products.,false,
25,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344PN00_1G.txt,metadata_txt,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344PN00_1G.tif
26,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344PN00_1G.rpc,rpc,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344PN00_1G.tif
27,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344PN00_1G.eph,ephemeris,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344PN00_1G.tif
28,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M1N00G_1G.tif,raster,02,KOMPSAT PAN/MS import; band identity check; RPC alignment; orthorectification; pan-sharpen/visual products.,false,
29,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M1N00G_1G.txt,metadata_txt,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344M1N00G_1G.tif
30,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M1N00G_1G.rpc,rpc,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344M1N00G_1G.tif
31,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M1N00G_1G.eph,ephemeris,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344M1N00G_1G.tif
32,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M2N00B_1G.tif,raster,02,KOMPSAT PAN/MS import; band identity check; RPC alignment; orthorectification; pan-sharpen/visual products.,false,
33,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M2N00B_1G.txt,metadata_txt,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344M2N00B_1G.tif
34,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M2N00B_1G.rpc,rpc,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344M2N00B_1G.tif
35,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M2N00B_1G.eph,ephemeris,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344M2N00B_1G.tif
36,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M3N00N_1G.tif,raster,02,KOMPSAT PAN/MS import; band identity check; RPC alignment; orthorectification; pan-sharpen/visual products.,false,
37,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M3N00N_1G.txt,metadata_txt,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344M3N00N_1G.tif
38,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M3N00N_1G.rpc,rpc,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344M3N00N_1G.tif
39,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M3N00N_1G.eph,ephemeris,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344M3N00N_1G.tif
40,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M4N00R_1G.tif,raster,02,KOMPSAT PAN/MS import; band identity check; RPC alignment; orthorectification; pan-sharpen/visual products.,false,
41,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M4N00R_1G.txt,metadata_txt,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344M4N00R_1G.tif
42,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M4N00R_1G.rpc,rpc,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344M4N00R_1G.tif
43,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344M4N00R_1G.eph,ephemeris,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344M4N00R_1G.tif
44,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344N00_1G_br.jpg,browse_image,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,false,
45,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344N00_1G_br.jgw,world_file,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,true,MSC_111127030410_28454_08621344N00_1G_br.jpg
46,03_KOMPSAT2_MSC_L1G,MSC_111127030410_28454_08621344N00_1G_tn.jpg,thumbnail,02,Archive with parent KOMPSAT bundle; use in metadata/RPC orthorectification audit.,false,
47,04_HeavyMineral_StreamSediment_Field,1987_MN_L47-XIX_HeavyMineralSamplingResultsMap_1-200000_v01_raw-scan.jpg,image_scan,08,Georeference/digitize anomaly contours; drainage catchment analysis; field follow-up planning.,false,
48,04_HeavyMineral_StreamSediment_Field,1987_MN_L47-XIX_HeavyMineralSamplingResultsMap_Legend_1-200000_v01_raw-scan.jpg,image_scan,08,Georeference/digitize anomaly contours; drainage catchment analysis; field follow-up planning.,false,
49,04_HeavyMineral_StreamSediment_Field,1987_MN_L47-XIX_StreamSedimentSamplingResultsMap_Legend_1-200000_v01_raw-scan.jpg,image_scan,08,Georeference/digitize anomaly contours; drainage catchment analysis; field follow-up planning.,false,
50,04_HeavyMineral_StreamSediment_Field,1987_MN_L47-XIX_StreamSedimentSamplingResultsMap_Polyelement_1-200000_v01_raw-scan.jpg,image_scan,08,Georeference/digitize anomaly contours; drainage catchment analysis; field follow-up planning.,false,
51,04_HeavyMineral_StreamSediment_Field,2011_MN_Namalzakh_L47-74-A_FieldRouteNotebook_Routes14-15_Obs1076-1090_1-50000_v01_raw-scan.pdf,pdf,08,Georeference/digitize anomaly contours; drainage catchment analysis; field follow-up planning.,false,
52,04_HeavyMineral_StreamSediment_Field,XV023222_Buduunkhad_Report7255_FieldObservation_StationDescription_Table_WGS84_LegacyRaw_v01.pdf,pdf,08,Georeference/digitize anomaly contours; drainage catchment analysis; field follow-up planning.,false,
53,05_Geology_Mineral_Prospectivity,1987_MN_L47-XIX_GeologicalMap_1-200000_v01_raw-scan.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
54,05_Geology_Mineral_Prospectivity,1987_MN_L47-XIX_GeologicalMap_Legend_1-200000_v01_raw-scan.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
55,05_Geology_Mineral_Prospectivity,2013_MN_Namalzakh_L47-74-A_GeologicalMap_1-50000_v01_raw-scan.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
56,05_Geology_Mineral_Prospectivity,2013_MN_Namalzakh_L47-74-A_GeologicalMap_Legend_1-50000_v01_raw-scan.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
57,05_Geology_Mineral_Prospectivity,1987_MN_L47-XIX_MineralResourcesMap_1-200000_v01_raw-scan.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
58,05_Geology_Mineral_Prospectivity,1987_MN_L47-XIX_MineralResourcesMap_Legend_1-200000_v01_raw-scan.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
59,05_Geology_Mineral_Prospectivity,2013_MN_Namalzakh_L47-73-74_MineralDistributionPatternMap_1-100000_v01_raw-scan.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
60,05_Geology_Mineral_Prospectivity,2013_MN_Namalzakh_L47-74-A_MineralOccurrenceMap_1-50000_v01_raw-scan.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
61,05_Geology_Mineral_Prospectivity,2013_MN_Namalzakh_L47-73-74_MetallogenicSchemeAndMetallogenogram_1-400000_v01_raw-scan.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
62,05_Geology_Mineral_Prospectivity,2013_MN_Namalzakh_L47-74-A_ProspectivityAssessment_ReportExcerpt_B3-TolKhar_v01_raw-photo.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
63,05_Geology_Mineral_Prospectivity,2013_MN_Namalzakh_L47-74-A_ProspectivityAssessmentMap_1-50000_v01_raw-scan.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
64,05_Geology_Mineral_Prospectivity,2013_MN_Namalzakh_L47-74-A_SourceMaterialsMap_1-50000_v01_raw-scan.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
65,05_Geology_Mineral_Prospectivity,2013_MN_Namalzakh_L47-74-A_SourceMaterialsMap_Legend_1-50000_v01_raw-scan.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
66,05_Geology_Mineral_Prospectivity,2013_MN_L47-XIX_GoldOccurrenceDescriptions_XIX-74-A_4186_v01_raw.docx,docx,03,Extract coordinates/attributes; clean register; link to GIS occurrence layers; confidence flag.,false,
67,05_Geology_Mineral_Prospectivity,2013_MN_Namalzakh_L47-73-74_MineralOccurrenceAndMineralizedPointRegister_7255_v01_raw-scan.pdf,pdf,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
68,05_Geology_Mineral_Prospectivity,2013_MN_Namalzakh_L47-74-A_MineralizedPointRegister_7255_v01_raw-table.xlsx,xlsx,03,Extract coordinates/attributes; clean register; link to GIS occurrence layers; confidence flag.,false,
69,06_Regional_Metallogenic_L47B,Regional_MetallogenicMap_L47B_Talshand_1M500K_Legend_RawScan_2020_v01.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
70,06_Regional_Metallogenic_L47B,Regional_MetallogenicMap_L47B_Talshand_1M500K_RawScan_2020_v01.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
71,06_Regional_Metallogenic_L47B,Regional_MetallogenicMap_Report_Book01_ProjectBook13_1M500K_RawScan_2021_v01.pdf,pdf,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
72,06_Regional_Metallogenic_L47B,Regional_MetallogenicMap_Report_Book04_ProjectBook16_1M500K_RawScan_2021_v01.pdf,pdf,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
73,07_Basemap_Sentinel2_ASTER,2005-09-05_MN_ASTER-L1B_MultispectralImagery_00409052005043503_v01_raw.hdf,hdf,02,ASTER HDF import; band extraction; reproject to EPSG:32647; index/score/class/mask workflow.,false,
74,07_Basemap_Sentinel2_ASTER,2025-05-28_MN_T46TGS_GeoreferencedSatelliteRaster_v01_raw.tif,raster,02,Remote sensing QA/QC; subset/reproject to EPSG:32647; derive composites/indices.,false,
75,07_Basemap_Sentinel2_ASTER,XV023222_Buduunkhad_GoogleMaps_BasemapImagery_RGB_2p4m_WGS84_Raw_v01.tif,raster,02,Remote sensing QA/QC; subset/reproject to EPSG:32647; derive composites/indices.,false,
76,07_Basemap_Sentinel2_ASTER,XV023222_Buduunkhad_HighResolution_RGB_SurfaceBasemap_GoogleMaps_EPSG3857_0p15m_Raw_v01.tif,raster,02,Remote sensing QA/QC; subset/reproject to EPSG:32647; derive composites/indices.,false,
77,07_Basemap_Sentinel2_ASTER,XV023222_Buduunkhad_Sentinel2_T46TGS_20250528_GeologicalInterpretation_RGB_B12-B08-B03_10m_UTM46N_ReceivedRaw_v01.tif,raster,02,Remote sensing QA/QC; subset/reproject to EPSG:32647; derive composites/indices.,false,
78,07_Basemap_Sentinel2_ASTER,XV023222_Buduunkhad_Sentinel2_T46TGS_20250528_LithologyIndex_B11B12_B08B11_B04B03_10m_UTM46N_ReceivedRaw_v01.tif,raster,02,Remote sensing QA/QC; subset/reproject to EPSG:32647; derive composites/indices.,false,
79,05_Geology_Mineral_Prospectivity,XV023222_Buduunkhad_SAS_HandInterpreted_GeologyMap_1-25000_RawScan_v01.jpg,image_scan,03,"Scan QA/QC; georeference (GCP, residual, scale); digitize key evidence; attribute coding; confidence flag.",false,
